,T_id,doi,title,abstract,authors,year,publisher,relevant
25556,TA041731,10.1021/acsomega.3c00704,Chemical Composition of Essential Oils from Nepeta transcaucasica Grossh. andNepeta cataria L. Cultivated in Bulgaria and Their Antimicrobial and AntioxidantActivity.,"The genus Nepeta, belonging to the family Lamiaceae, includes about 300 species,most of which are used in folk medicine due to their pronounced biologicalproperties. The aim of the present study was to evaluate the agrobiologicalcharacteristics of Nepeta transcaucasica (N. transcaucasica) Grossh. and Nepetacataria (N. cataria) L., cultivated in Bulgaria, and obtain their essential oilsand determine their antimicrobial and antioxidant activities. The agrobiologicalcharacteristics of the two species growing in Kazanlak were analyzed; therefore,high variability in the population of N. transcaucasica and comparativehomogeneity in N. cataria was shown. The species N. transcaucasica contained0.28% essential oil with main components β-citronellol (52.05%), eucalyptol(7.34%), β-citronellal (6.06%), germacrene D (5.45%), (Z)-β-ocimene (5.14%), andβ-caryophyllene (3.06%). The species N. cataria consisted of 0.19% essential oilwith main components β-citronellol (26.31%), geraniol (15.92%), neral (11.45%),nerol (9.56%), carvacrol (6.04%), and β-citronellal (5.35%). The antibacterialactivity against Gram-positive bacteria Listeria monocytogenes and Staphylococcusaureus and Gram-negative bacteria Escherichia coli (E. coli) and Salmonellaenterica subsp. enterica serovar Abony was determined. The essential oils showedantimicrobial activity only against E. coli. The diameters of the inhibitionzones were found to be 26 mm for the species N. transcaucasica and 10 mm for thespecies N. cataria. The antioxidant activity of the two essential oils was alsodetermined by four different methods, DPPH, ABTS, FRAP, and CUPRAC, with thehighest values for the ABTS radical, for the species N. transcaucasica (48.72 μMTE/mL), and the species N. cataria (310 μM TE/mL).","Mollova, Silviya, Dzhurmanski, Anatoli, Fidan, Hafize, Bojilov, Dimitar, Manolov, Stanimir, Dincheva, Ivayla, Stankov, Stanko, Stoyanova, Albena, Ercisli, Sezai, Assouguem, Amine, Marc, Romina Alina, Ullah, Riaz, Bari, Ahmed",2023,ACS omega,2
25601,TA041776,10.7717/peerj.16474,"Co-inoculation of mycorrhizal fungi and plant growth-promoting rhizobacteriaimprove growth, biochemical and physiological attributes in Dracocephalumkotschyi Boiss. under water deficit stress.","BACKGROUND: Because of swift climate change, drought is a primary environmentalfactor that substantially diminishes plant productivity. Furthermore, theincreased use of chemical fertilizers has given rise to numerous environmentalproblems and health risks. Presently, there is a transition towardsbiofertilizers to enhance crops' yield, encompassing medicinal and aromaticvarieties. METHODS: This study aimed to explore the impacts of plantgrowth-promoting rhizobacteria (PGPR), both independently and in conjunction witharbuscular mycorrhizal fungi (AMF), on various morphological, physiological, andphytochemical characteristics of Dracocephalum kotschyi Boiss. Thisexperimentation took place under different irrigation conditions. The irrigationschemes encompassed well watering (WW), mild water stress (MWS), and severe waterstress (SWS). The study evaluated the effects of various biofertilizers,including AMF, PGPR, and the combined application of both AMF and PGPR (AMF +PGPR), compared to a control group where no biofertilizers were applied. RESULTS:The findings of the study revealed that under water-stress conditions, the dryyield and relative water content of D. kotschyi Boiss. experienced a decline.However, the application of AMF, PGPR, and AMF + PGPR led to an enhancement indry yield and relative water content compared to the control group. Among thetreatments, the co-application of AMF and PGPR in plants subjected to wellwatering (WW) exhibited the tallest growth (65 cm), the highest leaf count (187),and the most elevated chlorophyll a (0.59 mg g(-1) fw) and b (0.24 mg g(-1) fw)content. Regarding essential oil production, the maximum content (1.29%) andyield (0.13 g plant (-1)) were obtained from mild water stress (MWS) treatment.The co-application of AMF and PGPR resulted in the highest essential oil contentand yield (1.31% and 0.15 g plant(-1), respectively). The analysis of D. kotschyiBoiss. essential oil identified twenty-six compounds, with major constituentsincluding geranyl acetate (11.4-18.88%), alpha-pinene (9.33-15.08%), Bis(2-Ethylhexyl) phthalate (8.43-12.8%), neral (6.80-9.32%), geranial(9.23-11.91%), and limonene (5.56-9.12%). Notably, the highest content of geranylacetate, geranial, limonene, and alpha-pinene was observed in plants subjected toMWS treatment following AMF + PGPR application. Furthermore, the co-applicationof AMF, PGPR, and severe water stress (SWS) notably increased the total solublesugar (TSS) and proline content. In conclusion, the results indicate that thecombined application of AMF and PGPR can effectively enhance the quantity andquality of essential oil in D. kotschyi Boiss., particularly when the plants areexposed to water deficit stress conditions.","Gasemi, Saeid, Mahdavikia, Hassan, Rezaei-Chiyaneh, Esmaeil, Banaei-Asl, Farzad, Dolatabadian, Aria, Sadeghpour, Amir",2023,PeerJ,2
25852,TA042027,10.3390/molecules28104147,Synthesis of Chitosan Oligosaccharide-Loaded Glycyrrhetinic Acid FunctionalizedMesoporous Silica Nanoparticles and In Vitro Verification of the Treatment ofAPAP-Induced Liver Injury.,"OBJECTIVE: the study was to find a suitable treatment for acute drug-inducedliver injury. The use of nanocarriers can improve the therapeutic effect ofnatural drugs by targeting hepatocytes and higher loads. METHODS: firstly,uniformly dispersed three-dimensional dendritic mesoporous silica nanospheres(MSNs) were synthesized. Glycyrrhetinic acid (GA) was covalently modified on MSNsurfaces through amide bond and then loaded with COSM to form drug-loadednanoparticles (COSM@MSN-NH(2)-GA). The constructed drug-loaded nano-deliverysystem was determined by characterization analysis. Finally, the effect ofnano-drug particles on cell viability was evaluated and the cell uptake in vitrowas observed. RESULTS: GA was successfully modified to obtain the sphericalnano-carrier MSN-NH(2)-GA (≤200 nm). The neutral surface charge improves itsbiocompatibility. MSN-NH(2)-GA has high drug loading (28.36% ± 1.00) because ofits suitable specific surface area and pore volume. In vitro cell experimentsshowed that COSM@MSN-NH(2)-GA significantly enhanced the uptake of liver cells(LO2) and decreased the AST and ALT indexes. CONCLUSION: this study demonstratedfor the first time that formulation and delivery schemes using natural drug COSMand nanocarrier MSN have a protective effect on APAP-induced hepatocyte injury.This result provides a potential nano-delivery scheme for the targeted therapy ofacute drug-induced liver injury.","Guo, Xinghua, Zhang, Chengcheng, Bai, Yan, Che, Qishi, Cao, Hua, Guo, Jiao, Su, Zhengquan",2023,"Molecules (Basel, Switzerland)",2
25863,TA042038,10.3390/molecules28030941,Comprehensive Identification of Ginsenosides in the Roots and Rhizomes of Panaxginseng Based on Their Molecular Features-Oriented Precursor Ions Selection andTargeted MS/MS Analysis.,"Panax ginseng is widely used in Asian countries and its activeconstituents-ginsenosides-need to be systematically studied. However, only asmall part of ginsenosides have been characterized in the roots and rhizomes ofpanax ginseng (RRPG) up to date, mainly because of a lack of the fragmentationions of many more ginsenosides. In order to comprehensively identify ginsenosidesin RRPG, molecular features of ginsenosides orienting precursor ions selectionand targeted tandem mass spectrometry (MS/MS) analysis strategy were proposed inour study, in which the precursor ions were selected according to the molecularfeatures of ginsenosides irrespective of their peak abundances, and targetedMS/MS analysis was then performed to obtain their fragmentation ions forsubstance characterization. Using this strategy, a total of 620 ginsenosides weresuccessfully characterized in RRPG, including 309 protopanaxadiol-typeginsenosides, 258 protopanaxatriol-type ginsenosides and 53 oleanane-typeginsenosides. It is worth noting that, except for the known aglyconesmass-to-charge ratio (m/z) 459, 475 and 455, twelve other aglycones, includingm/z 509, 507, 493, 491, 489, 487, 477, 473, 461, 457, 443 and 441, were firstreported in our experiment and they were probably the derivatizations of theprotopanaxatriol and protopanaxadiol. Our study will not only help people toimprove the cognition of ginsenosides in RRPG, but will also play a guiding andreference role for the isolation and characterization of potentially newginsenosides from RRPG.","Wang, Hong-Ping, Wang, Zi-Jian, Du, Jing, Lin, Zhao-Zhou, Zhao, Chen, Zhang, Run, Yin, Qiong, Fan, Chun-Lan, Peng, Ping, Wang, Zhi-Bin",2023,"Molecules (Basel, Switzerland)",2
25899,TA042074,10.3390/ijms242216322,In Vitro Cytotoxic Effects of Ferruginol Analogues in Sk-MEL28 Human MelanomaCells.,"Ferruginol is a promising abietane-type antitumor diterpene able to induceapoptosis in SK-Mel-28 human malignant melanoma. We aim to increase this activityby testing the effect of a small library of ferruginol analogues. After ascreening of their antiproliferative activity (SRB staining, 48 h) on SK-Mel-28cells the analogue 18-aminoferruginol (GI50 ≈ 10 µM) was further selected formechanistic studies including induction of apoptosis (DAPI staining, p < 0.001),changes in cell morphology associated with the treatment (cell shrinkage andmembrane blebbing), induction of caspase-3/7 activity (2.5 at 48 h, 6.5 at 72 h;p < 0.0001), changes in the mitochondrial membrane potential (not significant)and in vitro effects on cell migration and cell invasion (Transwell assays, notsignificant). The results were compared to those of the parent molecule(ferruginol, GI50 ≈ 50 µM, depolarisation of mitochondrial membrane p < 0.01 at72 h; no caspases 3/7 activation) and paclitaxel (GI50 ≈ 10 nM; caspases 3/7activation p < 0.0001) as a reference drug. Computational studies of theantiproliferative activity of 18-aminoferruginol show a consistent improvement inthe activity over ferruginol across a vast majority of cancer cells in the NCI60panel. In conclusion, we demonstrate here that the derivatisation of ferruginolinto 18-aminoferruginol increases its antiproliferative activity five times inSK-MEL-28 cells and changes the apoptotic mechanism of its parent molecule,ferruginol.","Shao, Luying, González-Cardenete, Miguel A, Prieto-Garcia, Jose M",2023,International journal of molecular sciences,2
26006,TA042181,10.3390/molecules28041725,Betulinic Acid Inhibits the Stemness of Gastric Cancer Cells by Regulating theGRP78-TGF-β1 Signaling Pathway and Macrophage Polarization.,"Cancer stemness is the process by which cancer cells acquire chemoresistance andself-renewal in the tumor microenvironment. Glucose-regulated protein 78 (GRP78)is a biomarker for gastric cancer and is involved in cancer stemness. By inducingcancer stemness in various types of cancer, the polarization of macrophages intotumor-associated macrophages (TAMs) controls tumor progression. Betulinic acid(BA) is a bioactive natural compound with anticancer properties. However, whetherGRP78 regulates TAM-mediated cancer stemness in the tumor microenvironment andwhether BA inhibits GRP78-mediated cancer stemness in gastric cancer remainunknown. In this study, we investigated the role of GRP78 in gastric cancerstemness in a tumor microenvironment regulated by BA. The results indicated thatBA inhibited not only GRP78-mediated stemness-related protein expression andGRP78-TGF-β-mediated macrophage polarization into TAMs, but also TAM-mediatedcancer stemness. Therefore, BA is a promising candidate for clinical applicationin combination-chemotherapy targeting cancer stemness.","Chen, Jen-Lung, Tai, Yun-Shen, Tsai, Hsin-Yi, Hsieh, Chia-Yuan, Chen, Chun-Lin, Liu, Chung-Jung, Wu, Deng-Chyang, Huang, Yaw-Bin, Lin, Ming-Wei",2023,"Molecules (Basel, Switzerland)",2
26101,TA042276,10.3390/molecules28114472,"Zeylleucapenoids A-D, Highly Oxygenated Diterpenoids with Anti-InflammatoryActivity from Leucas zeylanica (L.) R. Br.","Four previously undescribed highly oxygenated diterpenoids (1-4),zeylleucapenoids A-D, characterized by halimane and labdane skeletons, wereisolated from the aerial parts of Leucas zeylanica. Their structures wereelucidated primarily via NMR experiments. The absolute configuration of 1 wasestablished using theoretical ECD calculations and X-ray crystallographicanalysis, whereas those for 2-4 were assigned using theoretical ORD calculations.Zeylleucapenoids A-D were tested for anti-inflammatory activity against nitricoxide (NO) production in RAW264.7 macrophages, of which only 4 showed significantefficacy with an IC(50) value of 38.45 μM. Further, active compound 4 was alsoevaluated for the inhibition of the release of pro-inflammatory cytokines TNF-αand IL-6 and was found to have a dose-dependent inhibitory effect, while itshowed nontoxic activity for zebrafish embryos. A subsequent Western blottingexperiment revealed that 4 inhibited the expression of inducible nitric oxidesynthase (iNOS) and cyclooxygenase-2 (COX-2). Furthermore, molecular dockinganalysis indicated that the possible mechanism of action for 4 may be bind totargets via hydrogen and hydrophobic bond interactions.","Zhao, Ting, Zhang, Xuan, Nong, Xu-Hua, Zhou, Xue-Ming, Chai, Ru-Ru, Li, Xiao-Bao, Chen, Guang-Ying",2023,"Molecules (Basel, Switzerland)",2
26258,TA042435,10.3390/molecules27217215,Microplastic-Free Microcapsules to Encapsulate Health-Promoting Limonene Oil.,"Fast-moving consumer goods (FMCG) industry has long included many appealingessential oils in products to meet consumers' needs. Among all, the demand forlimonene (LM) has recently surged due to its broad-spectrum health benefits, withapplications in cosmetic, detergent, and food products. However, LM is extremelyvolatile, hence has often been encapsulated for a longer shelf-life. To date,mostly non-biodegradable synthetic polymers have been exploited to fabricate themicrocapsule shells, and the resulting microcapsules contribute to theaccumulation of microplastic in the environment. So far, information onLM-entrapping microcapsules with a natural microplastic-free shell and theirmechanism of formation is limited, and there is lack of an in-depthcharacterisation of their mechanical and adhesive properties, which are crucialfor understanding their potential performance at end-use applications. Thepresent research aims towards developing safe microcapsules with a core of LMfabricated via complex coacervation (CC) using gum Arabic (GA) and fungallysourced chitosan (fCh) as shell precursors. The encapsulation efficiency (EE) forLM was quantified by gas chromatography (GC) separation method. The morphology ofmicrocapsules was investigated via bright-field optical microscopy and scanningelectron microscopy, and their mechanical properties were characterised using amicromanipulation technique. Moreover, the adhesive properties of the resultingmicrocapsules were studied via a bespoke microfluidic device fitted with apolyethylene-terephthalate (PET) substrate and operating at increasinglyhydrodynamic shear stress (HSS). Spherical core-shell microcapsules (EE ~45%)with a mean size of 38 ± 2 μm and a relatively smooth surface were obtained.Their mean rupture force and nominal rupture stress were 0.9 ± 0.1 mN and 2.1 ±0.2 MPa, respectively, which are comparable to those of other microcapsules withsynthetic shells, e.g., urea- and melamine-formaldehyde. It was also found thatthe fCh-GA complexed shell provided promising adhesive properties onto PET films,leading to a microcapsule retention of ~85% and ~60% at low (≤50 mPa) and highshear stress (0.9 Pa), respectively. Interestingly, these values are similar tothe adhesion data available in literature for microplastic-based microcapsules,such as melamine-formaldehyde (50-90%). Overall, these findings suggest thatmicroplastics-free microcapsules with a core of oil have been successfullyfabricated, and can offer a potential for more sustainable, consumer- andenvironmentally friendly applications in FMCGs.","Baiocco, Daniele, Zhang, Zhibing",2022,"Molecules (Basel, Switzerland)",2
26485,TA042665,10.1186/s13071-022-05158-1,Molecular and functional characterization of a conserved odorant receptor fromAedes albopictus.,"BACKGROUND: The Asian tiger mosquito Aedes albopictus is a competent vector ofseveral viral arboviruses including yellow fever, dengue fever, and chikungunya.Several vital mosquito behaviors (e.g., feeding, host-seeking, mating, andoviposition) are primarily dependent on the olfactory system for semiochemicalsdetection and discrimination. However, the limited number of studies hampers ourunderstanding of the relationships between the Ae. albopictus olfactory systemand the complex chemical world. METHODS: We performed RT-qPCR assay on antennaeof Ae. albopictus mosquitoes of different sexes, ages and physiological states,and found odorant receptor 11 (AalbOr11) enriched in non-blood-fed femalemosquitoes. Then, we examined the odorant preference with a panel ofphysiologically and behaviorally relevant odorants in Xenopus oocytes. RESULTS:The results indicated that AalbOr11 could be activated by ten aromatics, seventerpenes, six heterocyclics, and three alcohols. Furthermore, using post-RNAinterference (RNAi) hand-in-cage assay, we found that reducing the transcriptlevel of AalbOr11 affected the repellency activity mediated by (+)-fenchone at alower concentration (0.01% v/v). CONCLUSIONS: Using in vitro functionalcharacterization, we found that AalbOr11 was a broadly tuned receptor. Moreover,we found that AalbOr11 shared a conserved odorant reception profile withhomologous Anopheles gambiae Or11. In addition, RNAi and bioassay suggested thatAablOr11 might be one of the receptors mediating (+)-fenchone repellencyactivity. Our study attempted to link odor-induced behaviors to odorant receptionand may lay the foundation for identifying active semiochemicals for monitoringor controlling mosquito populations.","Yan, Ru, Xu, Zhanyi, Qian, Jiali, Zhou, Qiaoling, Wu, Huiming, Liu, Yahui, Guo, Yirong, Zhu, Guonian, Chen, Mengli",2022,Parasites & vectors,2
26679,TA042860,10.3390/ijms23094771,Quantification and Improvement of the Dynamics of Human Serum Albumin andGlycated Human Serum Albumin with Astaxanthin/Astaxanthin-Metal Ion Complexes:Physico-Chemical and Computational Approaches.,"Glycated human serum albumin (gHSA) undergoes conformational changes andunfolding events caused by free radicals. The glycation process results in areduced ability of albumin to act as an endogenous scavenger and transporterprotein in diabetes mellitus type 2 (T2DM) patients. Astaxanthin (ASX) in nativeform and complexed with metal ions (Cu(2+) and Zn(2+)) has been shown to preventgHSA from experiencing unfolding events. Furthermore, it improves proteinstability of gHSA and human serum albumin (HSA) as it is shown through moleculardynamics studies. In this study, the ASX/ASX-metal ion complexes were reactedwith both HSA/gHSA and analyzed with electronic paramagnetic resonance (EPR)spectroscopy, rheology and zeta sizer (particle size and zeta potential)analysis, circular dichroism (CD) spectroscopy and UV-Vis spectrophotometermeasurements, as well as molecular electrostatic potential (MEP) and moleculardocking calculations. The addition of metal ions to ASX improves its ability toact as an antioxidant and both ASX or ASX-metal ion complexes maintain HSA andgHSA stability while performing their functions.","Wibowo, Syahputra, Costa, Jessica, Baratto, Maria Camilla, Pogni, Rebecca, Widyarti, Sri, Sabarudin, Akhmad, Matsuo, Koichi, Sumitro, Sutiman Bambang",2022,International journal of molecular sciences,2
26735,TA042917,10.1186/s12906-022-03552-x,Evaluation of anticandidal activities and phytochemical examination of extractsprepared from Vitex agnus-castus: a possible alternative in treating candidiasisinfections.,"BACKGROUND: Candidiasis infection is associated with high morbidity andmortality. Fungicidal resistance of some commercially used fungicides ascendedthe need for a naturally effective alternative. The current study aimed toevaluate the fungicidal activity of Vitex agnus-castus extracts in vitro againstsome Candida species. METHODS: The bioactive compounds contained in the crude andalcoholic extracts were compared, and the antioxidant activity was tested, aswell. The phytochemical analysis was carried out by Fourier Transform-InfraredSpectroscopy (FTIR) and Gas Chromatography-Mass Spectrometry (GC/MS). Thescavenger activity of the tested extracts was tested, as well. The anticandidalactivity was tested to detect the effect of the tested extracts on the mycelialgrowth of Candida albicans, Candida krusei, Candida parapsilosis, Candiatropicalis, Candida famata, Candida rhodotorula, and Candida dublinesis. Theminimum inhibitory concentrations were calculated for all reported activities.The Scanning Electron Microscopy (SEM) and the Transmission Electron Microscopy(TEM) were used to detect the morphological and ultrastructure response in someselected species. RESULTS: FTIR and GC/MS revealed the existence of differentbioactive chemical groups such as polyphenols, fatty acids, terpenes, terpenoids,steroids, aldehydes, alcohols, and esters, phytol which is a diterpene. DPPHresults confirmed the antioxidant activity of all extracts where the methanolicextract was the strongest scavenging substrate. All extracts showed stronginhibitory effects against different species at a concentration of 200 µg/ml(P < 0.001). SEM and TEM showed morphological and ultrastructure changes in C.famata. CONCLUSION: The current study suggested a reliable antifungal activity ofdifferent extracts of Vitex agnus-castus against different Candida species andstrains. However, further studies are required to confirm the safety of theseextracts to be used in medical applications.","Al-Otibi, Fatima O, Alrumaizan, Ghaida I, Alharbi, Raedah I",2022,BMC complementary medicine and therapies,2
26785,TA042968,10.1016/j.phytol.2022.07.010,Synthesis and evaluation of diterpenic Mannich bases as antiviral agents againstinfluenza A and SARS-CoV-2.,"A chemical library was constructed based on the resin acids (abietic,dehydroabietic, and 12-formylabietic) and its diene adducts (maleopimaric andquinopimaric acid derivatives). The one-pot three-component CuCl-catalyzedaminomethylation of the abietane diterpenoid propargyl derivatives was carriedout by formaldehyde and secondary amines (diethylamine, pyrrolidine, morpholine,and homopiperazine). All compounds were tested for cytotoxicity and antiviralactivity against influenza virus A/Puerto Rico/8/34 (H1N1) in MDCK cells andSARS-CoV-2 pseudovirus in BHK-21-hACE2 cells. Among 21 tested compounds, sixderivatives demonstrated a selectivity index (SI) higher than 10, and theirIC(50) values ranged from 0.19 to 5.0 μM. Moreover, two derivatives exhibitedpotent anti-SARS-CoV-2 infection activity. The antiviral activity and toxicitystrongly depended on the nature of the diterpene core and heterocyclicsubstituent. Compounds 12 and 21 bearing pyrrolidine moieties demonstrated thehighest virus-inhibiting activity with SIs of 128.6 and 146.8, respectively, andappeared to be most effective when added at the time points 0-10 and 1-10 h ofthe viral life cycle. Molecular docking and dynamics modeling were adopted toinvestigate the binding mode of compound 12 into the binding pocket of influenzaA virus M2 protein. Compound 9 with a pyrrolidine group at C20 of17-formylabietic acid was a promising anti-SARS-CoV-2 agent with an EC(50) of10.97 µM and a good SI value > 18.2. Collectively, our data suggested the potencyof diterpenic Mannich bases as effective anti-influenza and anti-COVID-19compounds.","Tret'yakova, Elena V, Ma, Xinyuan, Kazakova, Oxana B, Shtro, Anna A, Petukhova, Galina D, Klabukov, Artem M, Dyatlov, Danil S, Smirnova, Anna A, Xu, Huan, Xiao, Sulong",2022,Phytochemistry letters,2
26835,TA043019,10.3390/antibiotics11070913,Novel Formula of Antiprotozoal Mixtures.,"Antimicrobial resistance (AMR) is becoming more common in both bacteria andpathogenic protozoa. Therefore, new solutions are being sought as alternatives tocurrently used agents. There are many new ideas and solutions, especiallycompounds of natural origin, including essential oils. In the present study, theantiprotozoal activity of a mixture of essential oils (eucalyptus, lavender,cedar and tea tree), organic acids (acetic acid, propionic acid and lactic acid)and metal ions (Cu, Zn, Mn) were tested. As a model, protozoans were selected:Euglena gracilis, Gregarina blattarum, Amoeba proteus, Paramecium caudatum,Pentatrichomonas hominis. The tested concentrations of mixtures were in the rangeof 0.001-1.5%. The analyses show unexpected, very strong protozoicidal activityof combinations, presenting the synergy of compounds via determination of LD(50)and LD(100) values. Obtained mixtures showed significantly higher activityagainst protozoans, compared to chloramphenicol and metronidazole. Most of theanalyzed samples show high antiprotozoal activity at very low concentration, inthe range of 0.001-0.009%. The most effective combinations for all analyzedprotozoans were the cedar essential oil and tea tree essential oil with a mixtureof acids and manganese or zinc ions. Innovative combinations of essential oils,organic acids and metal ions are characterized by very high antiprotozoalactivity at low doses, which, after further investigation, can be applicable forcontrol of protozoan pathogens.","Iwiński, Hubert, Łyczko, Jacek, Różański, Henryk, Szumny, Antoni",2022,"Antibiotics (Basel, Switzerland)",2
27111,TA043295,10.1093/jisesa/ieac035,New Evidence of Canthariphily: Tilloidea transversalis (Coleoptera: Cleridae)Sequestering Cantharidin From Lydus trimaculatus (Coleoptera: Meloidae).,"Cantharidin (CTD) is a defensive compound autogenously and exclusively producedby two phylogenetically related beetle families: Meloidae and Oedemeridae.Although this molecule usually acts as a strong deterrent against potentialpredators and parasites, some arthropod species, collectively named'canthariphilous species', are attracted to CTD. Some species can sequester CTDfrom the CTD-producing species, using it as a chemical defense against enemies.The present paper focuses on the first-ever description of canthariphilousinteractions between a checkered beetle species (Coleoptera: Cleridae) and a CTD-producing species. Field observations revealed individuals of the phytophagousbeetle Tilloidea transversalis (Charpentier, 1825) (Coleoptera: Cleridae) bitingindividuals of the blister beetle Lydus trimaculatus (Fabricius, 1775)(Coleoptera: Meloidae). Laboratory behavioral experiments followed to verify ifthis peculiar behavior of T. transversalis also occurs on other co-occurringspecies. Moreover, chemical analyses were performed to assess whether T.transversalis can sequester CTD. Our results show that T. transversalis onlyattacks CTD-producing species. However, while chemical analyses prove that T.transversalis can sequester CTD from the hemolymph of L. trimaculatus, some clues(based on a CTD-baited traps sampling) suggest that this beetle, contrarily toother canthariphilous species, does not appear to show a high attraction to puresynthetic CTD. Thus, other unknown signals, alone or in combination with CTD,could be implicated in triggering the canthariphilous behaviors of T.transversalis.","Molfini, Marco, Stefanuto, Luca, Gisondi, Silvia, Gasperi, Tecla, Di Giulio, Andrea, Mancini, Emiliano, Bologna, Marco A",2022,Journal of insect science (Online),2
27143,TA043327,10.1038/s41467-022-29493-0,Collateral sensitivity to pleuromutilins in vancomycin-resistant Enterococcusfaecium.,"The acquisition of resistance to one antibiotic sometimes leads to collateralsensitivity to a second antibiotic. Here, we show that vancomycin resistance inEnterococcus faecium is associated with a remarkable increase in susceptibilityto pleuromutilin antibiotics (such as lefamulin), which target the bacterialribosome. The trade-off between vancomycin and pleuromutilins is mediated byepistasis between the van gene cluster and msrC, encoding an ABC-F protein thatprotects bacterial ribosomes from antibiotic targeting. In mouse models ofvancomycin-resistant E. faecium colonization and septicemia, pleuromutilintreatment reduces colonization and improves survival more effectively thanstandard therapy (linezolid). Our findings suggest that pleuromutilins may beuseful for the treatment of vancomycin-resistant E. faecium infections.","Li, Qian, Chen, Shang, Zhu, Kui, Huang, Xiaoluo, Huang, Yucheng, Shen, Zhangqi, Ding, Shuangyang, Gu, Danxia, Yang, Qiwen, Sun, Hongli, Hu, Fupin, Wang, Hui, Cai, Jiachang, Ma, Bing, Zhang, Rong, Shen, Jianzhong",2022,Nature communications,2
27380,TA043565,10.3390/nu14050962,Astaxanthin Attenuates the Changes in the Expression of MicroRNAs Involved in theActivation of Hepatic Stellate Cells.,"We previously demonstrated that astaxanthin (ASTX), a xanthophyll carotenoid, hasan antifibrogenic effect in hepatic stellate cells (HSC), primarily responsiblefor the accumulation of extracellular matrix protein during the development ofliver fibrosis. Studies have shown that microRNAs (miRNAs) are involved in HSCactivation. Therefore, we analyzed the expression of 84 miRNAs using miRNA arraysin primary mouse quiescent HSC (qHSC) and activated HSC (aHSC) treatedwith/without ASTX during their activation. Compared with qHSC, the expression of14 miRNAs and 23 miRNAs was increased and decreased by more than 2-fold,respectively, in aHSC. Among the 14 miRNAs increased in aHSC, the expression ofmiR-192-5p, miR-382-5p, and miR-874-3p was reduced by ASTX. In addition, ASTXincreased the expression of miR-19a-3p, miR-19b-3p, and miR-101a-3p among 23miRNAs decreased in aHSC. Moreover, we confirmed miR-382-5p expression was~15-fold higher in aHSC than qHSC, and ASTX markedly inhibited the inductionmeasured by quantitative real-time PCR. We identified that the expression ofBaz1a and Zfp462 from the predicted miR-382-5p target genes was significantlyreduced in aHSC while increased by ASTX treatment similar to the levels in qHSC.The roles of Baz1a and Zfp462 in HSC activation and the antifibrogenic effect ofASTX need to be further investigated.","Bae, Minkyung, Kim, Mi-Bo, Lee, Ji-Young",2022,Nutrients,2
27443,TA043628,10.1155/2022/2672150,In Vitro Cercaricidal and Schistosomicidal Activities of the Raffia Wine andHydroethanolic Extracts of Pedilanthus tithymaloides Linn (Poit). Stem Barks.,"Schistosomiasis control remains a public health concern, and there is a need toevaluate new strategies for targeting larval and adult stages of the parasite. AsPedilanthus tithymaloides is empirically used to treat schistosomiasis, itbecomes essential to know its effective action scientifically. This studyassessed the cercaricidal and schistosomicidal activity of P. tithymaloides stembarks raffia wine extract (RwPt) and hydroethanolic extract (HePt). Differentconcentrations of these extracts were tested against cercariae (31.25-1000 μg/mL)and adult worms (62.5-2000 μg/mL) of Schistosoma mansoni. Niclosamide-olamine 5%(1 μg/mL) and praziquantel (10 μg/mL) were used as pharmacological controls.Cercariae viability was determined every 30 min for 180 min, and adult worms'motor activity and viability after 24 and 48 h incubation. In addition,cytotoxicity and phytochemical analysis were performed. HePt was lethal tocercariae and adult worms with LC(50) of 73.91 μg/mL after 60 min of incubationand 731.17 μg/mL after 48 h of incubation, respectively. Furthermore, asignificant reduction of 94.44% in motor activity was observed in surviving wormsat the concentration of 2000 μg/mL. RwPt was less effective on S. mansonicercariae with an LC(50) of 617.86 μg/mL after 180 min and on adult worms with amortality rate of 9.83% at 2000 μg/mL for 48 h incubation. Both extracts showed aweak cytotoxicity profile with an IC(50) of 983.50 μg/mL for HePt and more than1000 μg/mL for RwPt. The LC-MS analysis of HePt allowed the detection of twoannotated diterpenoids. Based on the selectivity index, the hydroethanolicextract of P. tithymaloides stem barks disclosed an intense cercaricidal activityand a moderate schistosomicidal effect with low cytotoxicity. These findings maysupport the potential use of Pedilanthus tithymaloides as a natural product or asource of natural-derived compounds for interrupting schistosomiasistransmission.","Tienga Nkondo, Emilienne, Boukeng Jatsa, Hermine, Gipwe Feussom, Nestor, Kenfack, Mérimé Christian, Membe Femoe, Ulrich, Tamdem Guetchueng, Stephanie, Kopa Kowa, Theodora, Kamtchouing, Pierre, Tchuem Tchuente, Louis-Albert",2022,Evidence-based complementary and alternative medicine : eCAM,2
